tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
heart,lymphoid lineage restricted progenitor cell,PPM1K,0.16149841714366164,20.49847405900305,5898
heart,lymphoid lineage restricted progenitor cell,NAMPT,0.18096378917571204,22.448287555103423,5898
heart,lymphoid lineage restricted progenitor cell,CCND1,0.008902897063494942,1.2546625974906749,5898
heart,lymphoid lineage restricted progenitor cell,FBLN1,0.042106616048337486,5.612071888775856,5898
heart,lymphoid lineage restricted progenitor cell,ERAP2,0.1213243510529889,15.785011868429976,5898
heart,lymphoid lineage restricted progenitor cell,CENPV,0.004465851633376532,0.6442861987114276,5898
heart,epicardial adipocyte,EIF4EBP1,0.054207211596685054,7.3110720562390155,5690
heart,epicardial adipocyte,PITPNM1,0.006741416726673844,0.9314586994727593,5690
heart,epicardial adipocyte,MAGED2,0.04317010542629892,5.78207381370826,5690
heart,epicardial adipocyte,NUDT4,0.12658604201197834,14.76274165202109,5690
heart,epicardial adipocyte,MTFP1,0.003116721386230683,0.43936731107205623,5690
heart,epicardial adipocyte,PPM1K,0.08646941262515023,10.54481546572935,5690
heart,epicardial adipocyte,NAMPT,0.616837602193829,40.89630931458699,5690
heart,epicardial adipocyte,CCND1,0.01630337376586163,2.126537785588752,5690
heart,epicardial adipocyte,FBLN1,0.1350223651879282,13.585237258347979,5690
heart,epicardial adipocyte,ERAP2,0.02604405984727695,3.4094903339191562,5690
heart,epicardial adipocyte,CENPV,0.03896340915314552,5.166959578207381,5690
heart,mast cell,EIF4EBP1,0.00924887887567806,1.2692050768203074,4491
heart,mast cell,PITPNM1,0.00348579450907566,0.4898686261411712,4491
heart,mast cell,MAGED2,0.012423224503307559,1.736806947227789,4491
heart,mast cell,NUDT4,0.05248868239799233,6.880427521710087,4491
heart,mast cell,MTFP1,0.002559746169109595,0.3562680917390336,4491
heart,mast cell,PPM1K,0.06874669248504062,8.90670229347584,4491
heart,mast cell,NAMPT,0.13012372229046718,12.959251837007349,4491
heart,mast cell,CCND1,0.008450945457300506,1.1801380538855488,4491
heart,mast cell,FBLN1,0.01471488498627436,2.070808283233133,4491
