"gene","module"
"C1QTNF7","yellow"
"NMI","blue"
"HS3ST3B1","grey"
"NETO2","red"
"KCNB1","salmon"
"KLF10","lightcyan"
"SLC25A30","turquoise"
"CIB2","grey"
"CYP4Z1","green"
"FMO2","yellow"
"C13orf15","salmon"
"ALS2CR12","brown"
"NLGN4X","grey"
"SNORA61","blue"
"SNORD46","pink"
"TSPAN9","brown"
"MAPK10","yellow"
"MIR181A2","purple"
"BMP5","turquoise"
"FLJ31958","grey"
"DBP","turquoise"
"COL6A3","blue"
"KIAA0040","green"
"C6orf186","brown"
"NTM","yellow"
"FRMPD4","turquoise"
"PLEKHA7","grey"
"FNDC5","turquoise"
"TMEM232","brown"
"CYP4V2","turquoise"
"LOC441233","grey"
"BCAT1","blue"
"SNORA36C","pink"
"NME5","brown"
"AGTR1","black"
"ST8SIA2","brown"
"CCL11","red"
"SELENBP1","magenta"
"CACNB2","turquoise"
"ND6","grey"
"AKR1C3","blue"
"ALCAM","blue"
"SNORD59B","turquoise"
"MT2A","cyan"
"SPTLC3","turquoise"
"PCNT","green"
"MT1E","cyan"
"RALYL","turquoise"
"FAM13C","brown"
"HIST1H2BK","blue"
"CCDC141","turquoise"
"ILDR2","purple"
"LOC643837","magenta"
"TCP11L2","turquoise"
"HSPB6","grey"
"SLC7A7","blue"
"OBFC2A","blue"
"SLITRK6","grey"
"MMP2","greenyellow"
"ITGA5","red"
"ZNF608","grey"
"GFRA2","blue"
"PLXDC2","greenyellow"
"FILIP1L","brown"
"CD74","tan"
"LOC151009","greenyellow"
"MIR218-1","yellow"
"CTSH","pink"
"CD274","red"
"HIST1H3E","turquoise"
"GPNMB","turquoise"
"SLAMF6","tan"
"BMP6","brown"
"LCN10","green"
"CPE","yellow"
"KDR","grey"
"CD44","blue"
"ANKRD34C","brown"
"SNORD49A","red"
"EGR2","lightcyan"
"PYROXD2","turquoise"
"SNORA9","blue"
"ASB2","turquoise"
"SELL","tan"
"SORL1","tan"
"FMO5","green"
"C17orf97","grey"
"MIRLET7F1","brown"
"ASAM","blue"
"SNRNP25","turquoise"
"PLEKHF1","cyan"
"CXCL12","yellow"
"XK","salmon"
"MIR143","grey"
"BICC1","yellow"
"RNASE6","blue"
"CDCA7L","turquoise"
"IFI44","midnightblue"
"PKD1L2","turquoise"
"ADRB1","magenta"
"SNORA71D","pink"
"ANGPTL1","grey"
"MIR29B2","brown"
"PCDH7","turquoise"
"SLIT2","yellow"
"PDGFRL","yellow"
