"gene","module"
"KLHL40","yellow"
"GSDME","grey"
"SMAD3","blue"
"PID1","blue"
"PTP4A2","turquoise"
"DPYSL3","grey"
"DEF8","turquoise"
"RPP14","turquoise"
"ALDH6A1","grey"
"TSPAN18","red"
"WASHC3","turquoise"
"DNAJC7","turquoise"
"GADD45A","blue"
"HLX","red"
"HOOK2","turquoise"
"MRPS12","turquoise"
"FHL2","grey"
"CNN3","pink"
"EFEMP1","pink"
"ZNF667","yellow"
"ZMIZ1","purple"
"ZFYVE9","turquoise"
"DMAC2L","turquoise"
"NEDD4","grey"
"COX20","turquoise"
"ABI3BP","pink"
"NXPE3","turquoise"
"PLCL1","brown"
"CD9","pink"
"LINC01089","yellow"
"PDPN","blue"
"MCUR1","turquoise"
"MRPL12","lightcyan"
"RTTN","greenyellow"
"RP9","black"
"RADX","greenyellow"
"REPIN1","turquoise"
"ENDOG","lightcyan"
"NEMF","cyan"
"PAM","blue"
"HSPB7","grey"
"NUDT14","grey"
"ABCG1","blue"
"FH","brown"
"CA2","brown"
"RBFOX2","blue"
"CLK1","blue"
"PLEKHF1","blue"
"AK3","turquoise"
"ALKBH5","cyan"
"KANK1","brown"
"C1QA","tan"
"COL6A1","pink"
"ISOC2","turquoise"
"LIMS1","cyan"
"PLAAT1","green"
"HNRNPA2B1","turquoise"
"GOLGA8A","grey"
"LAMA2","pink"
"UQCRH","black"
"SH3BGRL","purple"
"SOBP","brown"
"SDHAF3","turquoise"
"ABTB2","turquoise"
"ARL2","red"
"TUBB6","pink"
"DBF4","yellow"
"CDKN2B","yellow"
"LINC00467","turquoise"
"SESN1","blue"
"GPX3","grey"
"MFN2","green"
"METTL2A","yellow"
"COQ9","turquoise"
"ARL5A","black"
"PFN2","greenyellow"
"CPE","purple"
"CLYBL","grey"
"DYNLT3","grey"
"ARHGEF6","brown"
"CDIN1","grey"
"RBM23","blue"
"HIGD1A","black"
"ITCH","yellow"
"HS6ST2","brown"
"CLSTN1","blue"
"KANSL2","salmon"
"FZD7","turquoise"
"PBX3","grey"
"NEDD9","grey"
"GSTM2","grey"
"ST3GAL3","green"
"MED25","yellow"
"F13A1","tan"
"VAMP8","tan"
"ZNF554","yellow"
"RAP2A","brown"
"HOXD8","grey"
"NDUFA8","brown"
"RPS6KA5","purple"
"EIF3FP2","black"
"SPX","turquoise"
"PTOV1","grey"
"EPS15","brown"
"PRELP","blue"
"PPP2R3B","blue"
"BEST3","grey"
"PRDM10","blue"
"VGLL2","grey"
"PTGR1","turquoise"
"NIPSNAP3B","black"
"TMEM141","turquoise"
"ATF5","red"
"RMDN1","turquoise"
"PCYOX1","yellow"
"CRYAB","red"
"NNT","turquoise"
"MLEC","grey"
"WDR6","blue"
"PCCB","turquoise"
"COL4A4","grey"
"H2AZ1","grey"
"MDH1","turquoise"
"SGCE","pink"
"KLF2","magenta"
"SULF2","red"
"HSF2","blue"
"VPS41","yellow"
"NIBAN2","red"
"MICU2","black"
"SLC8A3","grey"
"MAFB","blue"
"SERPING1","pink"
"TBC1D8","grey"
"EIF1AX","grey"
"C1QTNF9","turquoise"
"PIK3R1","blue"
"TMSB10","pink"
"PALM","red"
"FYN","tan"
"GLRX2","black"
"TRIM7","brown"
"ZNF462","grey"
"NACA4P","yellow"
"C6orf136","lightcyan"
"SNTB1","brown"
"KIF22","turquoise"
"FGL2","grey"
"HMBOX1","yellow"
"RTCA","brown"
"C3orf18","turquoise"
"MTIF2","brown"
"ATF4","green"
"FTH1","black"
